source,target
0,14
0,35
0,52
0,186
1,77
1,160
2,47
2,72
2,118
2,128
2,145
2,170
2,171
2,188
3,11
3,150
4,45
4,52
4,71
4,137
4,146
4,169
4,199
5,49
5,128
5,158
5,172
6,39
6,61
6,138
6,166
6,193
7,24
7,33
8,64
8,75
8,96
8,110
8,166
9,29
9,132
10,13
10,158
11,48
11,58
11,105
11,115
11,123
11,144
12,88
12,158
13,31
13,40
13,84
13,92
13,101
13,139
13,150
13,168
14,15
14,54
14,55
14,68
15,42
15,45
15,49
15,52
15,77
15,98
15,103
15,108
15,150
15,184
16,19
16,132
17,46
17,93
17,126
17,164
17,198
18,39
18,70
18,85
18,105
18,120
18,128
19,76
19,128
19,145
19,185
19,186
20,32
20,44
20,112
20,124
20,139
20,164
21,38
21,57
21,60
21,103
21,180
22,33
22,77
22,166
23,30
23,48
23,81
23,105
23,125
24,41
24,78
24,84
24,123
24,125
24,137
24,147
25,44
25,70
25,173
25,175
25,190
26,81
26,120
26,161
26,173
26,174
26,191
27,28
27,72
27,127
27,130
27,139
27,166
28,121
28,136
28,144
28,196
28,197
29,96
29,148
29,175
30,87
30,91
30,104
30,109
30,164
31,69
32,44
32,50
32,60
32,76
32,92
32,126
32,168
33,61
33,105
33,114
33,148
33,150
33,186
34,74
34,88
34,110
34,155
36,58
36,76
36,79
36,148
36,169
36,188
37,162
37,166
37,175
38,44
38,109
38,134
38,181
38,192
38,197
39,54
39,80
39,83
39,91
39,123
39,144
39,155
39,158
39,174
40,46
40,64
40,140
40,156
40,158
40,186
41,68
41,120
41,128
41,181
42,72
42,74
42,108
42,122
42,142
42,171
43,138
43,155
44,48
44,98
44,126
44,161
45,60
45,86
45,136
45,173
46,100
46,101
46,110
46,111
46,147
46,182
47,135
47,137
48,148
48,194
49,73
49,161
50,146
50,176
52,73
52,114
52,117
52,142
52,167
52,170
52,199
53,59
53,107
54,84
54,187
55,77
55,87
55,136
55,153
56,61
56,64
56,70
56,96
56,124
56,127
57,88
57,127
57,177
58,69
58,74
58,84
58,103
58,112
58,126
58,135
58,144
58,156
58,174
59,152
59,199
60,95
60,116
60,146
60,158
60,165
60,167
60,173
60,197
61,130
61,161
61,162
61,187
62,80
62,158
62,161
63,84
63,135
63,141
63,170
63,192
64,89
64,123
64,152
64,155
64,175
65,125
65,152
65,179
65,186
66,68
66,87
66,190
67,134
67,152
67,175
68,69
68,81
68,102
68,155
69,74
69,87
70,105
70,150
71,135
71,163
71,170
72,75
72,79
72,96
72,97
72,151
73,106
73,123
73,178
73,198
74,104
74,130
74,132
74,167
74,172
75,135
75,136
75,160
76,141
76,153
76,170
76,175
77,94
77,98
77,120
77,147
77,152
77,175
77,184
78,103
79,88
79,90
79,160
80,168
81,119
81,173
81,190
81,196
82,113
82,141
82,169
82,187
83,189
84,104
84,190
84,192
85,86
85,91
85,96
85,104
85,116
86,190
87,123
87,170
87,171
88,97
88,158
88,178
89,135
90,93
90,150
90,163
90,167
90,172
91,114
91,120
91,131
91,141
91,182
91,186
92,94
93,119
93,127
94,125
94,191
94,199
96,191
97,119
97,148
97,183
97,192
97,195
98,106
99,100
99,129
99,142
99,184
99,185
100,123
101,175
101,191
102,109
102,131
102,160
102,171
102,175
103,114
103,159
103,163
104,150
104,160
105,136
105,161
105,169
105,179
105,193
106,161
106,169
106,194
107,140
107,170
107,171
108,192
108,193
109,176
109,192
110,115
110,134
111,147
111,165
111,183
112,123
112,180
112,185
112,194
113,120
113,172
113,195
114,199
116,122
116,129
116,137
116,190
116,193
117,169
117,174
117,195
118,134
119,151
119,157
119,166
119,184
120,133
120,188
121,142
121,143
121,173
121,192
122,179
124,180
124,186
125,187
125,196
126,139
126,178
126,199
127,151
127,161
127,168
127,181
129,185
130,180
130,196
131,137
131,156
131,164
131,170
131,174
131,197
132,139
132,185
133,154
135,178
136,157
136,174
137,159
138,164
139,167
140,180
140,182
141,170
142,155
142,190
142,194
143,146
143,189
144,173
147,197
148,171
149,189
150,173
150,178
150,182
150,199
151,158
151,169
152,182
154,173
154,179
157,170
157,183
159,193
159,195
160,181
160,186
161,171
161,193
162,163
162,173
163,178
165,173
166,187
167,173
167,183
168,179
169,177
169,182
170,174
172,181
174,177
176,179
177,194
179,189
180,185
182,194
182,199
187,191
187,193
188,191
188,195
191,198
