source,target
0,1
0,4
0,5
0,6
0,7
0,9
0,11
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,37
0,38
0,39
1,2
1,3
1,4
1,5
1,7
1,8
1,9
1,10
1,11
1,12
1,17
1,19
1,20
1,21
1,22
1,23
1,24
1,26
1,27
1,28
1,29
1,31
1,34
1,35
2,3
2,4
2,5
2,7
2,8
2,9
2,10
2,11
2,13
2,15
2,16
2,19
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,31
2,32
2,34
2,35
2,36
2,37
3,4
3,7
3,9
3,12
3,13
3,14
3,15
3,18
3,19
3,20
3,21
3,22
3,23
3,25
3,26
3,28
3,31
3,32
3,33
3,34
3,35
3,36
3,37
3,38
3,39
4,6
4,7
4,8
4,10
4,11
4,13
4,15
4,16
4,17
4,18
4,19
4,21
4,22
4,23
4,24
4,25
4,26
4,27
4,28
4,29
4,30
4,31
4,32
4,34
4,35
4,36
4,39
5,6
5,8
5,9
5,10
5,11
5,14
5,15
5,16
5,21
5,22
5,23
5,25
5,26
5,27
5,28
5,29
5,30
5,31
5,32
5,33
5,34
5,36
5,37
5,39
6,8
6,9
6,10
6,11
6,12
6,13
6,15
6,17
6,19
6,20
6,21
6,22
6,24
6,25
6,26
6,27
6,31
6,32
6,34
6,38
6,39
7,9
7,10
7,11
7,13
7,14
7,15
7,16
7,18
7,19
7,22
7,24
7,25
7,30
7,31
7,33
7,37
7,38
7,39
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,18
8,19
8,20
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,31
8,32
8,34
8,35
8,36
8,37
9,10
9,11
9,12
9,13
9,14
9,15
9,17
9,18
9,21
9,22
9,23
9,24
9,25
9,27
9,28
9,29
9,30
9,33
9,34
9,35
9,36
9,37
9,38
9,39
10,11
10,12
10,13
10,14
10,15
10,16
10,18
10,19
10,20
10,21
10,22
10,23
10,25
10,26
10,27
10,28
10,29
10,31
10,34
10,35
10,36
10,37
10,38
10,39
11,12
11,13
11,15
11,17
11,18
11,19
11,20
11,24
11,25
11,29
11,30
11,32
11,35
11,38
12,13
12,15
12,17
12,18
12,20
12,21
12,24
12,25
12,26
12,27
12,28
12,29
12,33
12,34
12,35
12,36
12,37
12,39
13,14
13,15
13,17
13,18
13,19
13,21
13,24
13,25
13,27
13,28
13,33
13,34
13,36
13,37
13,39
14,15
14,16
14,17
14,18
14,19
14,20
14,21
14,23
14,25
14,26
14,28
14,30
14,32
14,34
14,36
14,37
14,39
15,16
15,17
15,18
15,19
15,20
15,22
15,23
15,26
15,27
15,28
15,29
15,30
15,31
15,32
15,33
15,36
15,37
15,38
16,17
16,18
16,23
16,24
16,27
16,28
16,29
16,32
16,33
16,34
16,38
16,39
17,18
17,19
17,24
17,28
17,29
17,30
17,32
17,33
17,34
17,35
17,36
17,37
17,38
17,39
18,20
18,22
18,23
18,25
18,26
18,27
18,29
18,31
18,32
18,33
18,34
18,35
18,36
18,37
18,39
19,20
19,22
19,23
19,26
19,28
19,29
19,30
19,32
19,33
19,34
19,35
19,36
19,37
19,38
19,39
20,21
20,22
20,23
20,24
20,26
20,27
20,28
20,29
20,30
20,31
20,32
20,33
20,34
20,35
20,36
20,37
20,38
20,39
21,22
21,23
21,25
21,26
21,29
21,30
21,33
21,34
21,35
21,36
21,37
21,38
21,39
22,24
22,25
22,28
22,29
22,30
22,31
22,32
22,33
22,34
22,35
22,36
22,37
22,38
22,39
23,24
23,26
23,27
23,29
23,30
23,31
23,32
23,34
23,35
23,36
23,37
23,38
23,39
24,25
24,27
24,28
24,29
24,30
24,31
24,32
24,33
24,34
24,35
24,37
24,38
24,39
25,27
25,28
25,32
25,33
25,34
25,36
25,37
25,38
26,27
26,28
26,29
26,30
26,31
26,32
26,33
26,34
26,35
26,36
26,37
26,38
26,39
27,28
27,29
27,30
27,32
27,34
27,35
27,37
27,38
27,39
28,29
28,33
28,36
28,37
28,39
29,31
29,33
29,34
29,35
29,37
29,38
29,39
30,32
30,34
30,35
30,36
30,37
30,39
31,32
31,34
31,35
31,37
31,38
32,33
32,34
32,35
32,37
32,38
33,35
33,36
33,37
33,39
34,35
34,38
35,36
35,38
35,39
36,38
36,39
38,39
40,41
40,42
40,43
40,44
40,45
40,47
40,48
40,49
40,51
40,52
40,53
40,54
40,55
40,58
40,59
40,62
40,63
40,64
40,65
40,69
40,70
40,73
40,76
40,77
40,78
40,79
41,42
41,44
41,45
41,46
41,47
41,49
41,50
41,52
41,53
41,54
41,55
41,56
41,57
41,58
41,60
41,61
41,62
41,63
41,64
41,65
41,67
41,68
41,69
41,71
41,72
41,73
41,75
41,77
41,78
41,79
42,43
42,44
42,45
42,47
42,48
42,49
42,50
42,51
42,52
42,53
42,56
42,57
42,58
42,59
42,60
