source,target
0,621
0,522
0,787
0,393
0,63
1,407
1,752
1,483
1,631
1,676
2,681
2,79
2,194
2,370
3,74
3,405
3,301
3,346
3,502
4,457
4,989
4,559
4,681
4,568
5,724
5,947
5,279
5,621
5,78
6,185
6,621
6,303
6,370
6,872
7,845
7,423
7,689
7,306
7,137
8,40
8,282
8,356
8,185
8,876
9,100
9,897
9,530
9,546
9,776
10,383
10,551
10,325
10,862
10,997
11,135
11,87
11,155
11,621
11,954
11,884
11,179
11,497
11,203
11,531
12,172
12,674
12,79
12,621
13,941
13,370
13,506
13,234
13,172
13,306
13,187
13,621
13,522
14,736
14,743
14,28
14,151
14,613
15,79
15,621
15,752
15,885
15,151
15,481
16,621
16,370
16,555
16,265
17,219
17,343
17,297
17,621
17,530
18,112
18,239
18,21
18,466
18,172
19,621
19,987
19,694
19,849
19,642
20,21
20,446
20,506
20,893
20,286
21,304
21,543
21,513
21,203
21,761
21,454
21,242
21,113
21,919
21,681
21,492
21,138
21,890
21,752
21,572
21,706
21,773
21,247
21,96
22,358
22,541
22,533
22,651
22,370
23,657
23,273
23,646
23,36
23,765
24,703
24,897
24,534
24,530
24,705
25,434
25,530
25,431
25,497
25,446
26,470
26,93
26,752
26,102
26,724
27,66
27,752
27,816
27,104
27,172
28,80
28,904
28,621
28,951
28,990
29,490
29,436
29,469
29,382
29,297
30,147
30,231
30,661
30,717
30,440
31,992
31,621
31,768
31,681
31,172
32,979
32,899
32,370
32,158
32,313
32,56
32,195
32,219
32,412
32,323
32,931
32,768
33,970
33,678
33,632
33,172
33,704
34,930
34,381
34,530
34,423
34,724
35,75
35,104
35,813
35,621
35,426
35,731
36,824
36,856
36,621
36,482
36,205
36,674
36,558
36,992
37,992
37,172
37,621
37,119
37,681
38,941
38,370
38,859
38,708
39,102
39,793
39,621
39,651
39,998
40,506
40,800
40,247
40,919
41,363
41,165
41,253
41,294
41,272
41,510
41,320
41,846
41,661
41,681
41,621
42,752
42,540
42,79
42,621
42,289
43,724
43,329
43,170
43,530
43,956
44,724
44,621
44,269
44,246
44,652
45,370
45,544
45,752
45,591
45,330
46,621
46,996
46,71
46,522
46,604
47,530
47,559
47,959
47,571
47,368
48,657
48,370
48,510
48,53
48,562
49,172
49,79
49,72
49,422
50,472
50,681
50,708
50,992
50,621
50,477
51,572
51,604
51,105
51,872
51,752
52,422
52,234
52,880
52,621
52,617
53,273
53,949
53,940
53,939
54,621
54,752
54,710
54,724
54,242
55,621
55,189
55,639
55,478
56,913
56,315
56,356
56,666
57,977
57,329
57,378
57,171
57,534
58,235
58,264
58,108
58,457
58,724
59,402
59,408
59,72
59,605
59,250
60,621
60,669
60,868
60,697
61,989
61,502
61,289
61,621
61,660
62,530
62,726
62,370
62,721
62,681
63,172
63,691
63,231
63,752
64,594
64,85
64,211
64,681
64,724
65,681
65,433
65,652
65,840
65,166
66,752
66,543
66,262
66,275
67,414
67,621
67,172
67,734
67,681
68,544
68,93
68,135
68,663
68,533
69,186
69,447
69,286
69,172
69,110
70,259
70,673
70,680
70,676
70,79
71,399
71,370
71,443
71,873
72,432
72,746
72,425
72,752
72,621
72,358
72,737
72,669
72,416
73,495
73,121
73,861
73,527
73,182
74,200
74,609
74,564
74,839
74,120
74,370
74,631
75,590
75,644
75,621
75,172
75,437
75,988
75,629
75,598
75,189
75,104
75,370
75,681
75,305
75,868
75,492
75,141
75,724
75,287
75,754
75,381
75,127
75,961
75,318
76,724
76,708
76,779
76,752
76,857
77,318
77,715
77,464
77,602
77,978
78,919
78,79
78,305
78,787
79,172
79,510
79,515
79,465
79,629
79,274
79,934
79,918
79,621
79,249
79,494
79,909
79,614
79,873
79,752
79,931
79,86
79,473
79,417
79,321
79,686
79,867
79,664
79,919
79,965
79,692
79,99
79,611
79,503
79,460
79,370
79,712
79,362
79,177
79,104
79,877
79,734
79,531
79,695
79,286
79,619
79,530
79,343
79,306
79,475
79,891
79,554
79,929
79,807
79,559
79,681
79,654
79,107
79,724
79,81
79,570
79,385
79,522
79,875
79,709
79,153
79,587
79,999
79,234
79,776
79,435
79,641
79,469
79,805
79,981
79,346
79,898
79,478
79,595
79,325
79,246
79,459
79,443
79,571
79,749
79,642
79,298
